name,brand_names,category,uses,dosage_adult,dosage_child,side_effects,contraindications,interactions,generic_available,price_category
Ciprofloxacin,"Cipro | Ciplox | Cifran",Antibiotic (Fluoroquinolone),"Urinary tract infection; typhoid; diarrhea; respiratory infections","500mg twice daily for 7-14 days","10-20mg/kg/day in two doses","Nausea; diarrhea; tendon rupture (rare); photosensitivity","Pregnancy; children under 18 (joint risk); tendon disorders","Antacids (reduce absorption); theophylline; warfarin",Yes,"Low-Medium (₹8-20 per tablet)"
Pantoprazole,"Pantocid | Protonix | Pan 40",Proton Pump Inhibitor,"Acidity; GERD; peptic ulcer; Zollinger-Ellison syndrome","40mg once daily before breakfast","Not established for children","Headache; diarrhea; abdominal pain; low magnesium (long term)","Severe liver disease; atazanavir use","Clopidogrel; methotrexate; ketoconazole",Yes,"Low (₹5-12 per tablet)"
Salbutamol,"Ventolin | Asthalin | Proventil",Bronchodilator (Beta-2 agonist),"Asthma attack; bronchospasm; COPD; exercise-induced asthma","2-4 puffs (100mcg each) every 4-6 hours as needed","1-2 puffs every 4-6 hours","Tremor; palpitations; headache; low potassium","Severe heart disease; thyrotoxicosis","Beta-blockers (oppose bronchodilation); digoxin; theophylline",Yes,"Medium (inhaler ₹80-150)"
Aspirin,"Ecosprin | Disprin | Loprin",Analgesic / Antiplatelet,"Low dose: heart attack and stroke prevention. High dose: pain and fever","75-100mg/day (antiplatelet); 325-650mg every 4-6 hours (pain)","Avoid in children under 12 (Reye syndrome risk)","Stomach bleeding; tinnitus; nausea; allergic reaction","Peptic ulcer; bleeding disorders; children under 12; third trimester pregnancy","Ibuprofen (reduces antiplatelet effect); warfarin (bleeding risk)",Yes,"Very Low (₹1-3 per tablet)"
Doxycycline,"Vibramycin | Doxt | Doxy 100",Antibiotic (Tetracycline),"Malaria prevention; chlamydia; Lyme disease; acne; chest infections","100mg twice daily or 200mg once daily","Not recommended under 8 years","Nausea; photosensitivity; esophageal irritation; tooth staining in children","Pregnancy; children under 8; severe liver disease","Antacids; calcium; iron (reduce absorption); warfarin",Yes,"Low-Medium (₹10-25 per capsule)"
ORS,"Electral | Pedialyte | WHO-ORS",Oral Rehydration,"Diarrhea; dehydration; heat exhaustion; vomiting","1 sachet in 1 litre water; drink 200-400ml after each loose stool","50-100ml/kg over 3-4 hours for mild dehydration","Rare: nausea if taken too fast","Anuria (no urine output); severe dehydration needing IV; bowel obstruction","None significant",Yes,"Very Low (₹5-10 per sachet)"
Zinc Sulfate,"Zincovit | Zinconia | Z & D",Mineral supplement,"Diarrhea treatment in children; zinc deficiency; wound healing","20mg once daily for 14 days (adults)","10-20mg once daily for 14 days","Nausea; vomiting; metallic taste at high doses","Hypercalcemia; copper deficiency","Tetracyclines; quinolones (reduce antibiotic absorption); iron",Yes,"Very Low (₹2-5 per tablet)"
Vitamin D3,"Calcirol | Cholecalciferol | D-Rise",Vitamin supplement,"Vitamin D deficiency; rickets; osteoporosis; bone pain","60000 IU weekly for 8-12 weeks then monthly maintenance","1000-2000 IU daily","Rare at normal doses; toxicity: nausea and kidney stones at very high doses","Hypercalcemia; sarcoidosis","Thiazide diuretics (hypercalcemia); digoxin; steroids reduce absorption",Yes,"Low (₹10-20 per capsule)"
Hydroxychloroquine,"Plaquenil | HCQS",Antimalarial / DMARD,"Malaria; rheumatoid arthritis; lupus; Sjogren syndrome","200-400mg daily with food","6.5mg/kg/day max 400mg","Nausea; retinopathy (long term - needs annual eye check); QT prolongation","G6PD deficiency; retinal disease","Antacids (reduce absorption); QT-prolonging drugs; digoxin",Yes,"Low-Medium (₹5-15 per tablet)"
Clonazepam,"Klonopin | Rivotril | Lonazep",Benzodiazepine,"Epilepsy; panic disorder; anxiety; restless legs syndrome","0.25-2mg twice daily","0.01-0.05mg/kg/day in two doses","Drowsiness; dizziness; memory problems; dependence risk","Severe liver disease; respiratory depression; pregnancy","Alcohol (dangerous CNS depression); opioids; other sedatives",Yes,"Low (₹3-8 per tablet)"
Losartan,"Cozaar | Losar | Repace",ARB (Antihypertensive),"Hypertension; diabetic kidney disease; heart failure","25-100mg once daily","0.7mg/kg/day for 6 years and above","Dizziness; high potassium; kidney function changes; rare angioedema","Pregnancy; bilateral renal artery stenosis","Potassium supplements (hyperkalemia); NSAIDs (reduced effect); lithium",Yes,"Low (₹5-12 per tablet)"
Folic Acid,"Folvite | Folate",B Vitamin,"Pregnancy neural tube defect prevention; folate deficiency; anemia","5mg daily (deficiency); 400mcg daily (pregnancy prevention)","As prescribed","Rare; may mask vitamin B12 deficiency","Vitamin B12 deficiency without B12 supplementation","Methotrexate (antagonist); phenytoin; sulfasalazine",Yes,"Very Low (₹1-3 per tablet)"
Iron (Ferrous Sulfate),"Fersolate | Haemfer | Orofer",Mineral supplement,"Iron deficiency anemia; pregnancy; menstruation-related deficiency","200mg three times daily (deficiency); 65mg daily (prevention)","3-6mg/kg/day in divided doses","Nausea; constipation; black stools; abdominal cramps","Hemochromatosis; hemolytic anemia","Tetracyclines; zinc; antacids reduce absorption; vitamin C increases absorption",Yes,"Very Low (₹1-5 per tablet)"
